,section,headline,summary,date
0,Economy,Vital Signs,"More freight is rolling on the rails. In March, U.S. freight railroads originated an average of 288,793 rail carloads a week, up 6.9% from a year earlier, and the most since November 2008.",20100411
1,U.S.,What's Ahead,The week's calendar,20100411
2,Europe,Interactive: Crash Victims,"Polish President Lech Kaczynski and dozens of others in a high-level delegation were killed Saturday when their plane crashed on landing outside the western Russian city of Smolensk, officials said.",20100411
3,Love & Money Update,Since We Talked 18 Months Ago…,Former Love & Money columnist Jeff D. Opdyke provides his readers with an update.,20100411
4,Economy,BOJ Disagreed Over Easing Effects,Bank of Japan policy board members disagreed over the likely effectiveness of expanding the central bank's fund-provision program.,20100411
5,Photos,Justice Stevens Retires?,"Supreme Court Justice John Paul Stevens, the court's oldest member and leader of its liberal bloc, is retiring.",20100411
6,Economy,Panel to Assess Recession's Duration,"The debate on measuring the longest recession since the Great Depression is likely to intensify this week, renewing attention on the labor market's slow recovery.",20100411
7,Economy,China's Trade Deficit Tangles Yuan Issue,"China ran its first monthly trade deficit in six years, a development that was quickly seized on by the nation's Commerce Ministry to argue against the need to revalue China's currency.",20100411
8,World Stock Markets,Asian Shares Boosted By Optimism On Greece,"Asian stocks were mostly higher in early Monday trading, helped by news the European Union had agreed to details of a rescue package if the Greek government needs one.",20100411
9,Photos,Sudanese Vote for First Time in Decades,"Voting began Sunday in Sudan, the first election in decades for the oil-rich African nation and one that will set the stage for the south to decide next year whether to become independent.",20100411
10,Europe,Conservatives Top Labour in Polls,"The U.K.'s opposition Conservative party held significant leads over Labour in weekend polls ahead of an election due on May 6, but not necessarily enough to clinch a majority.",20100411
11,Commodities,New Canadian Oil Futures Face Hurdles,"Over-the-counter contracts for Western Canadian Select represent the first opportunity to trade financially settled derivatives tied to oil from Canada, but new futures benchmarks have a spotty history.",20100411
12,Heard on the Street,Supervalu Could Be Just That,"Grocer stocks are already up, but Supervalu may have more going for it.",20100411
13,Heard on the Street,The Buffett List,"But an unscientific quick scan on Amazon.com shows there are 67 authors who have penned Buffett books still in print, from essays to self-help investing books. So who didn't make the cut for the DQ event's guest list? Well, the list doesn't appear to include Ayano Morio, author of an illustrated biography of Buffett, complete with etchings of the Oracle as a baby and other milestones. Also not on the list is Yingpei Zhang, who penned ""Warren Buffett and Tao Te Ching: A Modern Investor and an Age-old Philosophy."" Presumably, they couldn't all fit into the ice-cream store.",20100411
14,Europe,Investigators Focus on Tupolev 154,Investigators seeking the cause of a plane crash that killed Polish President Kasczinski are likely to focus on both the Tupolev 154 jetliner and the pilots' actions.,20100411
15,Economy,Trichet Sees Uncertain Recovery,"European recovery from the global recession will be moderate in the current year, but is likely to be surrounded by uncertainty and will be uneven across regions and sectors, ECB President Trichet said.",20100411
16,Business,Banks Pull Back From Pakistan,"Citigroup and Credit Suisse have abandoned brokerage operations in Pakistan this year, a further blow to the country's financial community at a time when the nation is struggling with its finances.",20100411
17,Business,Four Missing Miners Found Dead,"Authorities say crews have found the bodies of four miners missing nearly a week since an explosion at a West Virginia coal mine, bringing the death toll to 29.",20100411
18,Europe,Polish-Americans Shaken Over Loss,"Mourners left candles and Polish flags outside St. Stanislaus Bishop & Martyr Church in New York, while the crash triggered a wave of grief in Chicago.",20100411
19,Europe,Kaczynski Sought to Forge Ties to U.S.,"Lech Kaczynski, the Polish president who died in an airplane crash Saturday at 60, was a nationalist who battled the influence of Russia on his country, and at the same time was suspicious of the European Union.",20100411
20,Heard on the Street,Agricultural Bank Has China Inc. Support,"The last of the Chinese banking sector's famous five is getting closer to an initial public offering, and seems likely to be more of a domestic affair than previous Chinese bank floats.",20100411
21,World News,U.S. Tries to Keep Summit Nuclear,Leaders from 46 countries are descending on Washington for a two-day summit the Obama administration hopes will kick-start efforts to make all nuclear materials secure from smugglers and terrorists within four years.,20100411
22,Photos,"Polish President, Others Killed in Plane Crash",Polish President Lech Kaczynski and dozens of others in a high-level delegation were killed Saturday when their plane crashed outside the western Russian city of Smolensk.,20100411
