,section,headline,summary,date
0,None,Corrections & Amplifications,Corrections & Amplifications,20130122
1,Markets,CD Yields Unchanged,Yields on certificates of deposit were unchanged in the latest week.,20130122
2,Opinion,Pepper...and Salt,Pepper...and Salt,20130122
3,Graphics,The Long War,"When the Roe v. Wade decision came down, few abortion activists expected to still be fighting about the the issue decades later. But on this, both sides agree: The campaign over abortion has become a long one.",20130122
4,None,What's News: Business & Finance,"What's News: Business & Finance Top Stories for Jan. 22, 2013",20130122
5,None,Corrections & Amplifications,"Corrections & Amplifications for Jan. 22, 2013",20130122
6,None,What's News: World-Wide,"What's News: World-Wide Top Stories for Jan. 22, 2013",20130122
7,New York Crime,103 Years in Orthodox Case,A prominent ultra-Orthodox Jewish counselor was sentenced on Tuesday to 103 years in prison for repeatedly sexually abusing a young girl from an insular Brooklyn community that has long been accused of stifling such prosecutions.,20130122
8,New York Crime ,Stop and Frisk Ban Is Lifted,"A Manhattan federal judge on Tuesday temporarily reversed a decision she made earlier this month banning New York City police from making ""unlawful trespass stops"" outside some private buildings in the Bronx.",20130122
9,The Pop Scene,Keeping Their Composure,"The xx at Hammerstein Ballroom, Cat Power at Terminal 5 and more.",20130122
10,Speakeasy,Trading Blockbusters for a Story of His Own,"In his directorial debut, ""Don Jon's Addiction,"" Joseph Gordon-Levitt challenges stereotypes about women, romance, Italian-Americans and pornography. And that's just in the first half.",20130122
11,Photos,Asia in Pictures,Buddhist monks light candles at a temple in Thailand; new koalas arrive at a park in China; and the Afghanistan cricket team practice in Lahore ahead of a championship game.,20130122
12,Business,Firms Keep Piles of 'Foreign' Cash in U.S.,There's a funny thing about the estimated $1.7 trillion that American companies say they have indefinitely invested overseas: A lot of it is actually sitting right here at home.,20130122
13,Heard & Scene,Sundance's Alternative: Sledding and Hot Tubs,"While Burton and Oakley host many Sundance VIPs, outfit them with ski gear and give them snowboarding lessons, one of the more eccentric traditions that has sprouted up around Slamdance is the annual Park City Filmmaker Sled Off.",20130122
14,Markets,Banks Fight Fannie Over Insurance,"Banks are fighting an effort by Fannie Mae to cut costs on backup insurance policies often imposed on cash-strapped homeowners, a step that would crimp the lucrative fees the lenders collect on the coverage.",20130122
15,Asia,Philippines Takes Sea Dispute With China to Tribunal,"The Philippines is taking its territorial dispute with China to an international tribunal, raising the stakes in the political standoff among several countries with overlapping claims in the South China Sea.",20130122
16,New York Real Estate,Bidding Battle Over Bronx Hospital,"Two competing bids to take over New York Westchester Square Medical Center, a struggling hospital in the Bronx, are bringing to light deeper tensions about health care in the borough.",20130122
17,New York Politics,Mayor Plans Jobs Bill Veto,"Mayor Michael Bloomberg plans to veto legislation that would prohibit city employers from discriminating against unemployed job applicants, his office said Tuesday, marking another clash with City Council Speaker Christine Quinn.",20130122
18,China News,China's Pollution Fight Faces Resistance,"State-owned corporations and local interests are resisting Chinese government efforts to combat air pollution, in an early test for the nation's new leaders.",20130122
19,New York Politics,Big Donors Boost Christie,"New Jersey Gov. Chris Christie hauled in the bulk of his $2 million campaign war chest from donors who gave the state's maximum donation, an early display of the Republican incumbent's fundraising prowess as he gears up for re-election.",20130122
20,World News,Fuel Is New Engine for Seoul's Exports,"South Korea is no longer just a country of tiny chips, mid-sized cars and big ships.",20130122
