,section,headline,summary,date
0,Photos,Pepper...and Salt,"Pepper...and Salt for the week of December 16 — December 23, 2013.",20131220
1,Opinion,Pepper...and Salt,Pepper...and Salt,20131220
2,Whats News Business Finance,What's News: Business & Finance,What's News: Business & Finance,20131220
3,Whats News Business Finance,What's News: World-Wide,What's News: World-Wide,20131220
4,Business,Brazil's Vale Reduces Stake in Controversial Dam,"Vale, the world's leading producer of iron ore, agreed to form a joint venture with power company Cemig to manage some energy assets and will sell part of its stake in a controversial hydroelectric dam in the Amazon.",20131220
5,Media & Marketing,FCC Approves Media Deals,The FCC approved Gannett's $1.5 billion acquisition of Belo and Tribune's $2.73 billion agreement to buy stations from Local TV Holdings.,20131220
6,Markets,"FHFA to Delay Increase in Mortgage Fees by Fannie, Freddie",The incoming director of the regulatory agency that oversees Fannie Mae and Freddie Mac said he would delay an increase in mortgage fees charged by the housing-finance giants.,20131220
7,Politics,Tweaks to Health Law Rattle Insurers,"A spree of surprise changes to the health-care law in recent weeks has rattled insurers, who say the Obama administration's pronouncements could undermine the law's new marketplaces.",20131220
8,U.S.,U.S. Economy Begins to Hit Growth Stride,"The U.S. economy grew at a healthy 4.1% annual rate in the third quarter, revised figures showed, boosting hopes that the recovery is shifting into higher gear after years of sluggishness.",20131220
9,N.Y. Nets,Nets Lose in Overtime to Sixers on Turner's Shot,"Four days after pummeling the 76ers by 36 points, the Nets had a significantly more difficult time Friday, suffering a 121-120 overtime defeat on a last-second runner from Evan Turner.",20131220
10,The A-Hed,This Is a Fine Kettle of…Viagra: Salvation Army's Very Odd Catch,"Mixed with the dollar bills and loose change dropped in the Salvation Army's red kettles this Christmastime are less obvious tokens of generosity: gold coins, $50,000 from a ""Secret Santa,"" lottery tickets and Viagra.",20131220
11,New York Sports,Islanders Win as Rangers Regret,"The Rangers and Islanders tangled for the 356th time in the regular season on Friday night, and the Isles handed a painful loss to the stumbling Rangers, 5-3.",20131220
12,Open House,Old Westbury Rides High With Focus on Details,"The highly affluent village of Old Westbury seems far removed from New York City. Yet it is situated around 25 miles from Manhattan, with a commute of roughly 40 minutes by car.",20131220
13,New York Politics,Mayor Signs Off Weekly Radio Show,"Outgoing New York City Mayor Michael Bloomberg will take a vacation after leaving office, but he said on his final weekly radio show appearance Friday that he will promptly get back on the job.",20131220
14,Brunch Box,Mar's Refinement in Astoria,Co-owner Evangelos Roumeliotis says the menu at Mar's has a Mediterranean influence and New England-style items.,20131220
15,Playlist,Peter Billingsley of 'A Christmas Story' Picks Music to Lick a Flagpole to,"The star of the film talks about 'Pancho and Lefty,' a Marle Haggard-Willie Nelson duo.",20131220
16,Metro Money,Delivery Goes High-Tech,Metro Money: Anne Kadet asks whether there's a tougher job than the New York City holiday delivery business.,20131220
17,N.Y. Jets,Finding Meaning in a Meaningless Game,"Jets fans on Sunday may be saying farewell to Santonio Holmes, Ed Reed and coach Rex Ryan. Or not.",20131220
18,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Dec. 21-22, 2013",20131220
19,Waste Lands,Records Point to Nuclear Work in SoHo,"The government hired to process uranium in the 1950s, appears to have been located in Manhattan's SoHo neighborhood, at what is now 154 Spring St.",20131220
20,Exhibit,The Lovely Bones: A New Book Surveys Animal Skeletons,Three hundred specimens showcase the development of vertebrates in 'Evolution.',20131220
21,N.Y. Yankees,Yankees Welcome Ex-Met Beltran,"As Carlos Beltran officially crossed town and signed with the Yankees, it became clear that he is still seething over some of his darker days as a Met.",20131220
22,Photos,Startling Takes on Animal Skeletons,"Some 300 specimens showcase the development of vertebrates in ""Evolution,"" a new book of photos of animal skeletons.",20131220
23,New York Culture,The Babes of Broadway,"The number of children attending Broadway shows has been growing over the past several decades. In 1980, 400,000 children under 18 attended a Broadway show. By last year, that number had nearly tripled.",20131220
24,Icons,Still Collectin': Cheech Marin Shows Chicano Art He Owns,The exhibition will be at the Museum of Contemporary Art San Diego until March 23.,20131220
25,Ask Ariely,Should You Buy the Strange Brew of Civet Coffee?,Behavioral economist Dan Ariely helps a reader stumped by a pricey cup of joe.,20131220
26,N.Y. Nets,The Comeback Magic Hasn't Come Back,"The Nets are struggling to put together comeback wins. That's strange, considering that several Nets players were integral parts of a few historic comebacks.",20131220
27,Politics,Capitol's Dome to Get Makeover,The dome of the U.S. Capitol building will be temporarily wrapped in scaffolding by the spring of next year as part of a two-year renovation project.,20131220
28,N.Y. Knicks,Knicks Need Some Smarts,"The endings of two games this week highlighted a key problem for the 8-17 Knicks: In many ways, they appear to lack the on-court smarts that last year's team displayed.",20131220
29,Moving Targets,Joe Queenan Celebrates Quality Time With Telemarketers,"He clowns around, gets to talk like Yoda. But John From Shipping could be a great guy to have a beer with.",20131220
30,New York Region,Politics and the Bridge,Assemblyman John Wisniewski and Senate Majority Leader Loretta Weinberg have led the charge to find out why lanes leading to the George Washington Bridge were closed abruptly in September.,20131220
31,New York Crime,Bratton Plans for Policing Taking Shape,"As he left a Dec. 12 meeting with some of the New York Police Department's most fervent critics, Bill Bratton used a term that he says will define his strategy as commissioner: ""collaborative policing.""",20131220
32,Weekend Confidential,Lindsey Vonn Won't Let Her Career Go Downhill,"The racer had a rough year, but skipping next year's Winter Olympics isn't an option.",20131220
33,The Count,Bowls of Soup Will Cost You More,Here's the good news for all the University of Pittsburgh students willing to sit through their 6-6 team's matchup with Bowling Green in something called the Little Caesars Bowl: At least they won't have to pay for it.,20131220
34,R&D,'Greener' Offices via Smartphones,Scientists have developed a way to curb office buildings' substantial power bills by checking the location of smartphones.,20131220
35,Word on the Street,The Accidental Naming of the Crossword,"As the puzzle's centennial spurs an inquiry into how it all got started, a daughter of the creator helps out.",20131220
36,Essay,The Most Grumble-Filled Time of Year,Christmas has something for everyone—even those who see Scrooge as a role model.,20131220
37,Canada News,Canada Strikes Down Prostitution Laws,"Canada's top court struck down parts of the country's prostitution laws because they create ""dangerous"" conditions that violate prostitutes' basic rights.",20131220
38,Reporter's Journal,U.S. Soldiers Leave Messages in Afghanistan,"Reporter's Journal: The 12-year war in Afghanistan has left its marks on the soldiers who fought it, and the soldiers have, in turn, left their marks on Afghanistan.",20131220
39,Intelligent Investor,What's Wrong With REITs,"Real-estate investment trusts outperformed stocks between 2009 and 2012. But this year, they have fallen far behind. What's an investor to do?",20131220
40,Weekend Investor,This Week,What happened to your money this week.,20131220
41,Commodities,Mine Closures Set to Give Zinc a Boost,"Prices of zinc, a metal used to coat steel, rose to a nine-month high amid a flurry of mine closures that are expected to tighten supplies.",20131220
42,Weekend Investor,Test Your Prediction Skills,What's ahead for shares of Facebook?,20131220
43,Weekend Investor,Internet Shopping Gets a Boost From China,"Chinese online retailers are targeting overseas consumers. Here's what to expect, writes Wei Gu.",20131220
44,Masterpiece,A Narrative of Heroism in Crisis,"Barrymore Laurence Scherer looks at Emanuel Leutze's 'Washington Crossing the Delaware,' a painting that glorifies, as well as documents, history.",20131220
45,Politics,Small Budget Deal Makes Bigger One Less Likely,"The two-year budget agreement passed by Congress likely marks the end of Washington's deficit-reduction efforts for the foreseeable future, rather than signaling a new beginning.",20131220
46,Weekend Investor,The Risks of Being Rich on Social Media,Learning about investments is just one aspect of inheriting a lot of money.,20131220
47,Weekend Investor,Court to IRS: Pay Legal Fees,"A federal court has ruled against the IRS and awarded a New Jersey couple $53,000 in lawyers' fees.",20131220
48,Politics,Sen. Reid Released From Hospital,"Senate Majority Leader Harry Reid was released from the hospital Friday after doctors diagnosed him with no ailment more serious than exhaustion, a spokesman said.",20131220
49,Technology,"At BlackBerry, Stock Jumps Despite Big Loss","BlackBerry revealed a worst-ever $4.4 billion quarterly loss, and said it is hardly selling any of its new line of smartphones. But the company's stock rose after a pledge to renew its focus on software and services.",20131220
50,Upside,Why Market Forecasts Are So Bad,Investors should note that analysts' stock-market predictions are frequently less accurate than random guesses.,20131220
51,Tax Report,How Will the IRS Tax Bitcoin?,"Will gains be taxed like those from property, barter, foreign currency, stocks or in some other way? It's an open question, but one with growing consequences.",20131220
52,Politics,HealthCare.gov Site Suffers Outage,The federal health-insurance exchange suffered an unexpected three-hour outage just days ahead of a crucial sign-up deadline.,20131220
53,Business,U.S. Lays Out Case Against Megaupload,"The Justice Department laid out its case against Megaupload, the company behind a ""cyberlocker"" site that allowed users to upload files.",20131220
54,NY Heard & Scene,Martha's Vineyard Pops Up in New York,"With his Martha's Vineyard restaurant closed for the season, Chris Fischer decided to open a pop-up restaurant in Manhattan for three weeks.",20131220
55,New York Culture,Women in 'Orange' Help Women in Prison,"""Orange Is the New Black"" cast members celebrate a charity/shopping event for the Women's Prison Association.",20131220
56,New York Culture,Unwrapping New Orleans for the Holidays,New Yorkers will get contrasting takes on the city's musical tradition from two entirely different bands.,20131220
57,Politics,Obama Says Phone-Data Change Is 'Possible',"The president said it is ""possible"" he will end the government's bulk collection of telephone metadata and instead keep that information stored at phone companies.",20131220
58,U.S.,Prosecutors Expand Case Against 'Silk Road' Online Drug Bazaar,"Federal prosecutors in New York unsealed an indictment Friday against three men who allegedly helped run Silk Road, an online market where users could buy everything from narcotics to forged passports.",20131220
59,Markets,DJIA Sets Inflation-Adjusted Record,"On Friday, the Dow Jones Industrial Average achieved something it hadn't managed in nearly 14 years: It closed at a record after adjusting for inflation.",20131220
60,New York Culture,"Abstract Mainstays, Dark Mixed Media","'American Abstraction' Exhibit in Chelsea, Sean Scully's 'Night and Day' and Kris Kuksi's 'Revival.'",20131220
61,Heard on the Street,Racing to Remake BlackBerry,"Getting out of the handset business helps, but BlackBerry's services business is shrinking fast.",20131220
62,U.S.,Art Figures Violated Secrecy Agreement,"A jury found that two New York art dealers and a billionaire collector breached a secrecy agreement concerning a major painting by Mark Rothko., but also awarded limited damages.",20131220
63,Business,Microsoft Names DuBois as New Information Chief,Microsoft Corp. on Friday said Jim DuBois would be the tech giant's new chief information officer starting Jan. 1.,20131220
64,Opinion,Notable & Quotable,"Democratic senators lobbied HHS for the recently announced ""hardship exemption"" to the individual mandate.",20131220
65,Opinion,Josh Tavlin: A Short Guide to Company Christmas Giving,"No Starbucks gift cards, no Powerball tickets, and definitely no corporate logo-emblazoned anything.",20131220
