,section,headline,summary,date
0,Deco Summary (Plain),12,"In major-league history, the number of times that a team was shut out in its first two games entering this season. The Twins became the 13th on Wednesday in their 11-0 loss to the Tigers.",20150408
1,Tech,Samsung Facing Supply Shortages for Curved-Screen Galaxy S6 Edge,There could be limited supplies of Samsung’s new curved-screen smartphone.,20150408
2,U.S.,"More Training Time Needed For South Carolina Police, Experts Say",A murder charge brought against a South Carolina police officer in the shooting of a fleeing man has some experts raising questions about the limited amount of training given to police in the state.,20150408
3,New York,Heard on the Field: Yankees Don’t Need Hits to Score Runs and Win,Heard on the Field: Yankees Don’t Need Hits to Score Runs and Win,20150408
4,New York Yankees,Yankees Complete Comeback Win Over Blue Jays,The New York Yankees scored three runs in the eighth inning to complete a 4-3 comeback victory over the Toronto Blue Jays on Wednesday night.,20150408
5,New York Nets,Nets Owner Not Ready to Sell Team,"Before watching his team fall short of the first-place Atlanta Hawks on Wednesday, 114-111, Nets owner Mikhail Prokhorov said he doesn’t intend to sell the team.",20150408
6,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of April 8, 2015.",20150408
7,Business,"CBS Reporter, Host Bob Schieffer Retiring",Veteran CBS Washington reporter and host of the Sunday news magazine “Face the Nation” Bob Schieffer is retiring this summer after more than 40 years with the network.,20150408
8,Health Policy,California Advances Vaccine Bill,"California lawmakers, amid impassioned pleas from parents and doctors, Wednesday advanced a bill that would require schoolchildren in the state to be vaccinated.",20150408
9,New York Mets,"Whose Mets Lineup Is It, Anyway?","When it comes to batting the pitcher in the No. 8 slot or putting his best hitter in the second spot in the lineup, Mets manager Terry Collins is keeping an open mind. The front office may provide input, but Collins has the final say.",20150408
10,Foreign Exchange,Dollar Rises After Fed’s Rate Signals,The dollar rose against the euro and pared losses against the yen after minutes from the Fed’s most recent policy meeting nudged forward expectations for higher interest rates.,20150408
11,Europe Markets,European Shares Buoyed by Merger News,"European stocks climbed to a 15-year high, buoyed by a rise in oil and gas shares as investors bet Royal Dutch Shell’s deal to buy BG Group will spark a wave of mergers in the industry.",20150408
12,Business,Brazil’s Lower House Approves Preliminary Outsourcing Bill,"Brazil’s lower house on Wednesday approved a preliminary text of a bill that would allow companies to outsource more of their workers, in what would be a major change for a nation with strong worker protections.",20150408
