,section,headline,summary,date
0,Opinion,Pepper...and Salt,Pepper...and Salt,20120307
1,Graphics,Exploring the New iPad,"Apple's new iPad, scheduled to be released March 16, has a sharper display and connects to the Internet over 4G. Explore new features and specifications.",20120307
2,Graphics,Outside Apple,A view of the scene outside the Apple event at the Yerba Buena Center for the Arts in San Francisco.,20120307
3,Photos,"Alexander McQueen, Fall/Winter",Sarah Burton's latest collection for Alexander McQueen,20120307
4,US Page One,What's News: Business & Finance,"What's News: Business & Finance Top Stories for March 7, 2012",20120307
5,Markets,'Sterilized' Bond Buying an Option in Fed Arsenal,Fed officials are considering a new type of bond-buying program designed to subdue worries about future inflation if they decide to take steps to boost the economy.,20120307
6,Style & Travel,What's in Your Bag?,A look at what Abercrombie & Kent chief executive Geoffrey Kent packs for his far-flung journeys,20120307
7,New York Region,Charges Dropped Against Teenager Kicked on Video,"The Bronx district attorney dismissed drug and assault charges  against a teenager who was beaten by New York Police Department officers during an arrest in January, an incident that was captured on video.",20120307
8,N.Y. Knicks,Another Night in Texas Means Another Stinker,"The Knicks, missing defensive stalwart Tyson Chandler due to an injury, lose to the Spurs, 118-105.",20120307
9,Asia,China Speeds Economic 'Transformation',"By lowering China's growth target, Premier Wen Jiabao signaled a comfort level with less torrid expansion, a shift with profound implications for China's trading partners.",20120307
10,Autos,GM Recalls Vehicles in China,"General Motors Co. will recall 18,204 imported vehicles in China because of problems with the cars' anti-lock braking systems, China's quality control agency said in a statement.",20120307
11,New York Politics,Inspections Recipe Irks Restaurateurs,"Restaurant owners turned out in force to a City Council hearing to voice their frustrations with a letter-grading system they pronounced punitive, arbitrary and expensive.",20120307
12,Asia Business,Bank of Korea Holds Policy Steady Again,The Bank of Korea kept its benchmark interest rate on hold for a ninth straight month as it balances risks to the economy from inflation and signs of slowing growth.,20120307
13,N.Y. Mets,"So, How's the Weather Up There?","Mets relievers Jon Rauch and Daniel Herrera, standing 17 inches apart, may make major-league history.",20120307
14,Media & Marketing,State Official Opposes Disney Board's Move,The state treasurer of Connecticut—whose public pension fund holds $27 million in Walt Disney Co. shares—criticized Disney board members who voted to give CEO Robert Iger the added title of chairman.,20120307
15,New York Crime,Broker Linked to Arrest in Alleged Brothel Case,"At the time of her arrest last month, prosecutors said the accused owner of an Upper East Side brothel had been meeting with a Morgan Stanley broker who she hoped would invest in her business.",20120307
16,Technology,Why Doesn't the New iPad Have a Name?,"While some pundits predicted the device announced Wednesday would be called the iPad 3—and others said iPad HD—Apple simply called it ""the new iPad.""",20120307
17,Whats News Business Finance Europe,What's News,Here are the top business stories from today's Wall Street Journal Europe.,20120307
18,Middle East,Nuclear Agency Fears Tehran 'Cleansing' Site,"Satellite imagery taken of Iran is raising concerns inside the United Nations' nuclear watchdog that Tehran has been ""cleansing"" a military site that the agency believes may have been involved in nuclear-weapons development.",20120307
19,Heard & Scene,A 'Wild Night' for the Kids,It might be a child's dream come true to be let loose inside FAO Schwarz after bedtime. But their parents?,20120307
20,Heard & Scene,"Exchanging Vows, Rings in TV Land","This week, TV Land asked Fran Drescher, the star of ""Happily Divorced,"" to get ordained and officiate the wedding of two gay men.",20120307
21,Photos,Spiders Battle Flooding in Australia,Spiders in Australia cast eerie webs over vast areas of New South Wales in an apparent effort to escape widespread flooding.,20120307
22,The Middle Seat,"Turn Off Electronic Devices, or Else","Refusal to switch off electronic devices is the No. 1 spark for confrontation and unruly behavior on airlines now, flight attendants say.",20120307
23,Heard & Scene,Passing The Puck,"""Goon"", a comedy about a hockey enforcer played by Seann William Scott, has been hailed as a love letter to the sport and criticized as a celebration of violence.",20120307
