,section,headline,summary,date
0,Opinion,Pepper...and Salt,Pepper...and Salt,20130701
1,U.S.,News Quiz: June 23 - 28,The Supreme Court struck down which law on Wednesday? What's a Klappertaart? Which descendants of Henry Ford don't work at the car company? Test your knowledge of the news.,20130701
2,Corrections,Corrections & Amplifications,"Corrections & Amplifications for edition of July 1, 2013",20130701
3,Whats News World Wide,What's News: World-Wide,"What's News: World-Wide Top Stories for July 1, 2013",20130701
4,New York Real Estate,Property Watch,A roundup of regional property news,20130701
5,N.Y. Yankees,Cano Cranks a Couple of Homers,"Yankees 10, Twins 4.",20130701
6,U.S.,Safety Board Urges New Air-Traffic Steps,"Responding to four serious midair near-collisions last year, air-accident investigators urged revised air-traffic control procedures at some big U.S. airports to ensure the safety of landing aircraft.",20130701
7,NY Mets,Do You Need That Shoulder?,What's clear is that Jon Niese has a rotator-cuff tear. What's unclear is whether or not he'll be able to pitch through it.,20130701
8,N.Y. Yankees,Start the A-Rod Countdown,Alex Rodriguez has been cleared to begin a 20-day minor-league rehab assignment on Tuesday.,20130701
9,The A-Hed,"In Stone-Skipping Circles, A Rocky Debate Over Equipment","Among stone-skippers, nothing makes ripples like a disagreement about regulation rocks.",20130701
10,Retirement Planning,What You Need to Know About Long-Term-Care Insurance,Long-term care is a vastly misunderstood part of the health-care world.,20130701
11,NY Knicks,Making Sense of the Bargnani Trade,"Besides being costly, the deal may not even help the Knicks.",20130701
12,Lunchbox,From Farm to Sandwich,"Local and affordable are the two main variables in the equation of the Black Tree Sandwich Shop, a new spot tucked away on Orchard Street in the Lower East Side.",20130701
13,Heard & Scene,Uber Expands With Helicopter Service,"Uber, the car service app, will offer UberChopper, a ride from the city to a helipad to a Hamptons location.",20130701
14,Asia Markets,China Home Prices Jumped in May,"Housing prices in China's 70 major cities in May registered their highest annual growth rate in more than two years, at 5.3%, which could increase pressure on cities to enforce the government's property-cooling measures.",20130701
15,N.Y. Politics,Mayor Warns on Stop-and-Frisk,Mayor Michael Bloomberg threatened on Monday to campaign against City Council members who supported two bills aimed at addressing the New York Police Department's controversial stop-and-frisk tactic.,20130701
16,Heard & Scene,Pairing Pork and Poetry,"Over the weekend, Mount Tremper Arts in the Catskill Mountains, hosted a pork- and poetry-themed ""Art-B-Q"" as a part of its sixth annual summer arts festival.",20130701
17,New York Region,Federal Probe Begins Into Copter Crash,"The owner of a helicopter that experienced a total power failure before plunging into the Hudson River said he couldn't explain what happened, as federal investigations began reviewing the aircraft.",20130701
18,New York Region,Driving and Texting Draws New Penalties,New York's young drivers now face a 60-day suspension when caught texting or using a hand-held cellphone on the road under a law Gov. Andrew Cuomo signed Monday.,20130701
19,Urban Gardner,A Battle in Brewing,Can the David's Tea Chain Become the Starbucks of Tea?,20130701
20,Markets,U.S. Factories Buck Global Growth Slowdown,"America's factories accelerated slightly in June, easing fears of a deeper U.S. slowdown, but weakness among manufacturers elsewhere points to the sector's vulnerability around the globe.",20130701
21,N.Y. Transit,Bus Latest Target in Suspect's Transit Capers,Darius McCollum Pleads Guilty to Stealing Trailways Bus,20130701
22,N.J. Politics,"Once Enemies, Now Polite Company","Once bitter rivals, Gov. Chris Christie and U.S. Sen. Robert Menendez speak at the inauguration of the first mayor in nine years in Jersey City.",20130701
23,Europe,World Watch,World Watch,20130701
24,Middle East,"Amid Violence, Egypt's Women Brave Protests","Many women protested in Egypt in defiance of one of a dark reality—the widespread sexual violence against women who are participating in or simply present at, antigovernment protests.",20130701
25,Heard & Scene,Playing the Ponies in the Hamptons,"Wick Hotchkiss, the owner of the Stony Hill Stables in Amagansett, performed a dressage routine with a horse named Royal Dancer to the hit song 'Thrift Shop,' by Macklemore and Ryan Lewis.",20130701
26,Curtain Raisers,Design Helps Capture Macbeth's Downfall,: Sound designer Fitz Patton views production of 'Macbeth' with Alan Cumming at the Ethel Barrymore Theatre.,20130701
27,Technology,Icahn Raises $5.2 Billion for Dell Deal,"Investor Carl Icahn said he has raised more than $5 billion to finance his plan to recapitalize ailing PC maker Dell, a move he said should end speculation that the funds wouldn't be available.",20130701
28,Review & Outlook,Egypt Erupts Again,Morsi and the Muslim Brotherhood are now the protest targets.,20130701
