,section,headline,summary,date
0,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide,20151129
1,Africa,Pope Calls for Harmony in Central African Republic,"Pope Francis called on fighters waging a civil war in Central African Republic to lay down their weapons, during a trip that raised hopes that his visit would kick-start a stalled peace process.",20151129
2,College Football,Rutgers Hits Reset on Athletic Department,Rutgers has fired athletic director Julie Hermann and football coach Kyle Flood after a tumultuous season on and off the field.,20151129
3,U.S.,Accused Shooter Had Police Record,"Accused Colorado Springs shooter Robert Lewis Dear appeared to be a troubled loner with a long but relatively minor criminal history, who had been living in isolation. He moved recently from the mountains of rural North Carolina to 70 miles west of Colorado Springs.",20151129
4,World,Efforts to Revive Afghan-Taliban Talks Under Way,"Efforts by the U.S., Pakistan and China are under way to revive peace talks between the Afghan government and Taliban in coming weeks.",20151129
5,U.S.,University of Chicago Cancels Monday Classes After Threat,The FBI told the university that a threat of gun violence had been made for Monday morning.,20151129
6,World,Obama Aims to Seal Paris Climate Deal and His Own Legacy,"The president’s trip to Paris for a climate conference will mark the height of his yearslong quest to curb greenhouse-gas emissions, one that has been far from smooth.",20151129
7,Oil Markets,Oil Prices Subdued; Focus on Central Bank and OPEC Meetings,"Crude prices moves were tepid in early Asian trade Monday as the market stayed put ahead of a raft of data and meetings this week, with traders watching if Saudi Arabia-led oil cartel would adjust its production policy to stabilize prices on Friday.",20151129
8,Culture,Musicians Take (Over) the A Train,Some straphangers aboard the A train in New York on Sunday were treated to jazz in celebration of the 100th anniversary of late composer Billy Strayhorn’s birth.,20151129
9,Precious Metals,Spot Gold Hits Six-Year Low,"Spot gold price hit a six-year low in Asian trade as expectations strengthened of a U.S. rate increase in December. Spot gold fell to $1,053.08/ounce, a six-year low, before edging up to $1,056/ounce.",20151129
10,Essay,The Places We Go to Take Stock of Our Lives,Decades of memories turn a cabin in the Allegheny Mountains into a measuring stick.,20151129
11,Retirement,Gifts for the Traveler in Your Life,"Our holiday recommendations, from backpacks to coffee makers, for extended journeys or day trips.",20151129
12,Retirement,The Benefits of a Short Workout Routine,High-intensity interval training could give older people incentive to get the exercise they need.,20151129
13,Retirement,Retirees Get Back on Their Bikes,"More older people are rediscovering the joy, and the health benefits, of cycling.",20151129
14,Retirement,Best Places to Retire: Chattanooga Blends Culture and the Outdoors,"Retirees are choosing the Scenic City for its natural beauty, mild winters and university environment.",20151129
15,Retirement,Hospitals Tap Wisdom of Patients to Improve Care,Patient and family advisory councils work on projects and policies along with hospital staff. Hospitals with such councils score higher in measures of patient satisfaction.,20151129
16,Retirement,A Journey Up a Holy Mountain in Ireland,A New Jersey writer on a visit to his Irish mother-in-law makes a side trip to Croagh Patrick.,20151129
17,Retirement,Second Acts: Former Navy Officer Finds a Way to Help Veterans,Ed Nicholson founded an organization that uses fly fishing to get veterans active outdoors with other vets.,20151129
18,Retirement,New Social Security Strategies for Couples,"With the file-and-suspend strategy on the way out, an alternative for couples looks promising.",20151129
19,Retirement,The Best Books of 2015 on Retirement Living,"Top picks for practical advice about later life as well as food, health, humor and more.",20151129
20,Retirement,New Rules on Money-Market Funds,What investors need to know about floating net asset value and potential redemption fees and restrictions coming for some funds.,20151129
21,Retirement,A Behavioral Economist on the Key to Getting People to Save for Retirement,A researcher says we have to make it easier to build a nest egg.,20151129
22,Retirement,Second Acts: From Desk Job to a Second Career as Big as All Outdoors,Mary Kay Gordon has rapidly become a fixture with visitors as seasonal concierge at Bryce Canyon Lodge.,20151129
23,Slideshow,Photos: Celebrating Billy Strayhorn on the A Train,Late jazz composer Billy Strayhorn is remembered on the 100th anniversary of his birth with a nostalgic subway ride and pop-up concert in New York City.,20151129
24,Tri-State Area,Bakery Puts Public Good in Its Recipe for Success,"Greyston Bakery in Yonkers hires applicants in the order in which they walk in the door, no questions asked. The workers tend to be those who are chronically underemployed, particularly those who have been incarcerated.",20151129
25,Urban Gardner,"Hunting for Deer, and Something More","Ralph Gardner Jr. joins in a deer hunt, despite his past aversion to the activity, and gets a sense of what it’s like to spend time in the quiet of the forest.",20151129
26,Politics,Cuomo Is on Exhibit in Lawmakers’ Trials,"New York Gov. Andrew Cuomo isn’t on trial, but his political style and personality have been on display throughout the public-corruption trials in the past few weeks of former state Sen. Majority Leader Dean Skelos and former Assembly Speaker Sheldon Silver.",20151129
27,Politics,"Judge in Silver Trial Delivers Speed, Levity",U.S. District Judge Valerie Caproni proves a font of blunt humor and biting wit.,20151129
28,U.S.,Bond Set at $1.7 Million for Suspect in New Orleans Gunfight,"Seventeen people, including children, were wounded last week when two groups started shooting at a block party.",20151129
