,section,headline,summary,date
0,Middle East News,U.S. Beefs Up Gulf Defenses,"As the Obama administration edges toward imposing tougher sanctions on Iran, it has begun upgrading its approach to defending its Persian Gulf allies against potential Iranian missile strikes.",20100130
1,How I Got Here,Building a Global Legal Career,"Margaret Tahyar clerked for Supreme Court Justice Thurgood Marshall and Judge Robert Bork. These days she's a partner at a law firm, specializing in financial institutions and regulations--having spent a chunk of her career overseas.",20100130
2,Business,Exelon Joins Illinois 'Clean-Coal' Plant,"The biggest U.S. nuclear-power generator joined the federal government's flagship initiative to clean up coal-fired electricity generation in the face of climate change, signing onto a project other utilities have abandoned.",20100130
3,Business,Cellphone Laws May Not Reduce Car Crashes,"Laws that forbid motorists from using hand-held phones or texting while driving don't appear to result in a significant decrease in vehicle crashes, according to a new study.",20100130
4,None,Obama Details Jobs-Focused Tax Credit,"Employers would receive a $5,000 tax credit for every net new worker hired during 2010; start-ups would receive half that amount.",20100130
5,Middle East News,Iranian Protesters Put on Trial,The judiciary began a trial of 16 defendants charged with various offenses related to protests late last month. Five face a charge punishable by death.,20100130
6,Business,"Bankers, Officials Talk Regulation in Davos","Top bankers and senior government officials from major economies held informal private talks on regulation that participants called ""constructive"" but which produced little concrete result.",20100130
7,India News,"Honda To Recall Over 8,500 City Sedans In India","The Indian unit of Honda Motor will recall 8,532 units of its City sedans made in 2007 due to defective power-window switches that can cause fire.",20100130
8,Business,IMF to Launch $100 Billion Green Fund,The International Monetary Fund will launch a $100 billion green fund as part of global efforts to stimulate economic growth.,20100130
9,US,Kansas GOP Could Be Its Own Worst Enemy,Kansas Republicans are almost certain to recapture the governor's office this November and they're vowing to regain control of all six Kansas congressional seats. But a revival of a Republican civil war between fiscal and social conservatives could give openings to Democrats.,20100130
10,Opinion,Baby Bottle Red Alert,Fear and loathing over a very common chemical.,20100130
11,None,"Fannie, Freddie Get Tough With Banks",The mortgage-finance companies are forcing lenders to repurchase loans found to contain improper documentation about a borrower's income or outright lies.,20100130
12,None,iPad Name Draws Jeers,"The name of Apple's latest gadget is taking a beating, but marketing experts have no qualms.",20100130
13,US,Terror Trial Likely to Leave N.Y.,"The Obama administration is likely to relocate the Sept. 11, 2001, conspiracy trial from a courthouse near the World Trade Center site, responding to growing criticism from New York City.",20100130
14,None,Risk to Alaska Gas Pipeline: More Gas,The discovery of huge new natural-gas fields across the contiguous U.S. is threatening Alaska's plans for a pipeline to export gas to the lower 48 states.,20100130
15,Fashion,Versace's New Look,"After five years of ceding control to an outside manager, the Versace family, with Donatella leading the charge, has tightened its hold over the company in the face of the luxury-goods crisis.",20100130
16,Commodities,OJ's Rocky Month Ends With a Drop,Orange juice futures fell 5% to close out a month of price swings spurred by uncertainty about how much crop damage was caused by the deep freeze that hit Florida to start the year.,20100130
17,Options,Traders Take Long View,"Traders made their way to the options market to buy and sell contracts that expire in 2011, making long-term bets on several stocks.",20100130
18,Business,BlackRock Hires Kendrick Wilson,BlackRock is adding a former U.S. Treasury official and well-known investment banker to its executive team as it seeks to digest a major acquisition and manage $3.3 trillion of client assets.,20100130
19,Opinion,The Inventory Recovery,Business investment remains weak.,20100130
20,Photos,Uganda's HIV Crisis,"Amid increasing numbers of HIV infections in Uganda, the growth in funding from Washington appears to be slowing down.",20100130
21,Masterpiece,"The Rose of Sharon, Ontario","Built in the 19th century by the leader of the Children of Peace, the Temple is a structure of profound aesthetic appeal.",20100130
22,Asia News,Clinton Presses China on Iran Sanctions,Secretary of State Hillary Clinton said China risks diplomatic isolation and economic uncertainty if it doesn't join the international push to further sanction Iran for its nuclear program.,20100130
23,U.S.,Deficit Hawk Orszag Plays Against Type,White House budget director seeks strategies to sustain an economic recovery amid mounting concerns over deficit spending.,20100130
24,Heard on the Street,India's Taste for Inflation Fight,India's central bank has begun its fight against inflation with a traditional bullet. But this battle isn't a conventional one.,20100130
25,The Count,Making the Pro Bowl Doesn't Always Pay,Most NFL player contracts offer incentives for making the Pro Bowl—but only for being named a starter on the original ballot.,20100130
26,Economy,Overseas Consumers to the Rescue,"As U.S. shoppers stay thrifty, companies increasingly look to emerging markets like China to fill the gap.",20100130
27,Authors,What Don DeLillo's Books Tell Him,"In a rare in-person interview, the novelist talks about his Catholic roots and the inspiration for his new book, ""Point Omega.""",20100130
28,None,Pentagon Review Shows Strategy Shift,The Pentagon will lay out a long-term vision for U.S. national security on Monday that will formally jettison its decades-old belief that it needs to be prepared to fight two large-scale wars simultaneously.,20100130
29,Management,Toyota CEO Apologizes,Toyota CEO Akio Toyoda apologized to customers for the anxiety the company has caused them following a massive recall and said the company was working to solve the problem.,20100130
30,Worth It,Checking In With Foursquare,"Lauren Goode tries out Foursquare, a popular mobile app that lets users broadcast where they're hanging out and locate nearby friends.",20100130
31,Americas News,Haiti Moves to Reopen Some Schools,"Haiti will reopen some of the country's schools for the first time since the Jan. 12 earthquake, but few are in the capital or other hard-hit areas.",20100130
32,Wine,Dark Whites From the Wild East,"The challenging Rkatsiteli wine, from Georgia, isn't for everyone but rewards those who keep an open palate, says Lawrence Osborne.",20100130
33,Markets,A Crisis Parable,None,20100130
34,None,HCA Owners Get Big Payout,The hospital operator's $1.75 billion dividend payment brings to mind the financial maneuvers made by private-equity firms during the go-go years of 2005-2007.,20100130
35,Foreign Exchange,Euro Falls Below $1.39,"Pressure on the euro accelerated, with the single currency falling below $1.39 for the first time in more than six months, as sentiment deteriorated over the fiscal health of some European countries.",20100130
36,Credit Markets,'Build America' Permanently?,Obama will ask Congress to make permanent a bond program that helps strapped state and local governments finance projects.,20100130
37,None,'Phishing' Scams Target Mobile Banking,"As mobile-banking applications have increased in popularity, so has the risk of downloading and installing a fraudulent app.",20100130
38,Business,Toyota Declares Problem Fixed,Toyota said that it has already begun shipping a fix to the gas pedal problem involved in the recall of millions of vehicles.,20100130
39,Business,Six More Banks Fail,"U.S. regulators closed at least six more banks, including two in Georgia, as the fallout from the financial crisis continued to be felt by smaller financial institutions across the country.",20100130
40,Opinion,The Chávez Meltdown,There's a lot of ruin in Venezuela.,20100130
41,Business,Mattel Earnings Rise on Barbie Sales,"Mattel's profit rose 86% as margins surged, and the toy maker said sales of core brands Barbie and Hot Wheels jumped by double digits.",20100130
42,US,Indiana Embraces Tax Cap,"Indiana lawmakers are moving to enshrine property-tax caps in the state constitution despite cuts in fire, police and other local services the limits have caused.",20100130
43,None,Google Takes Aim at Beijing Censorship,"Google Chief Executive Eric Schmidt said that the company would like to stay in China and aims to ""make things better for the Chinese people.""",20100130
44,None,India's Central Bank Tightens Policy,"India's central bank tightened monetary policy but left key interest rates unchanged, a sign that policymakers are trying to curb inflation without derailing one of the world's fastest-growing economies",20100130
45,Opinion,Raymond A. Joseph: A Marshall Plan for Haiti,We've contributed to the wealth and freedom of many. We're grateful the world is returning the favor.,20100130
