,section,headline,summary,date
0,Politics,"U.S. Military Now Preparing to Leave as Many as 1,000 Troops in Syria",The policy shift comes three months after President Trump ordered a complete withdrawal and is far more than the White House originally intended.,20190317
1,Journal Reports: Wealth Management,Do Most People Need a Broker When Selling Their Home?,Some experts say brokers bring deep knowledge to their role as advocate and voice of reason. Others say sellers can handle plenty of broker services by themselves these days.,20190317
2,Review & Outlook,The Senate’s War Powers,Ending U.S. support for the Saudis in Yemen would be a gift to Iran.,20190317
3,Review & Outlook,Releasing the Mueller Report,Disclosure should include the FBI and FISA documents too.,20190317
4,Slideshow,"Photos: Hudson Yards’ Centerpiece, the Vessel",On Hudson Yards’ opening weekend thousands lined up to climb the development’s centerpiece structure: the Vessel.,20190317
5,Slideshow,Photos: New Zealand Remembers the Dead,New Zealanders flocked to vigils on Monday and over the weekend to commemorate those killed in Friday’s mass shootings at two Christchurch mosques.,20190317
6,College Basketball,"Duke, Virginia, North Carolina and Gonzaga Are Top Seeds in NCAA Tournament","Duke was named the No. 1 overall seed and is joined on the top line by Virginia, North Carolina and Gonzaga.",20190317
7,State Street,New York Gov. Cuomo Fights With Fellow Democrats,Fault lines have emerged among New York’s Democratic leaders with two weeks to go before the state budget deadline.,20190317
8,Europe,France Vows Crackdown After Protests Again Turn Violent,"French officials vowed to step up a crackdown on violent protesters, a day after clashes erupted during the 18th straight Saturday of yellow-vest protests that caught authorities off guard and put more pressure on President Emmanuel Macron.",20190317
9,Slideshow,Photos: St. Patrick’s Day Around the World,The patron saint of Ireland is celebrated across the globe on St. Patrick's Day.,20190317
10,Deals,"Deutsche Bank, Commerzbank Enter Formal Merger Talks","Deutsche Bank and rival Commerzbank on Sunday confirmed they are formally discussing a merger, marking a new phase after years of speculation about the troubled fates of Germany’s two biggest banks.",20190317
11,Corrections,Corrections & Amplifications,Corrections & Amplifications for the edition of March 18,20190317
12,U.S.,Record Floods Wreak Havoc on Midwestern States,"Record flooding caused by heavy snow and rain in the Great Plains forced the evacuation of thousands and killed at least three people in Iowa, Nebraska, South Dakota and other Midwestern states.",20190317
13,World,"OPEC, Russia Deepen Oil Output Cuts","OPEC and a group of 10 oil-producing nations led by Russia are deepening their crude production cuts, but remain split on whether the curbs should remain in place through the end of the year, officials said.",20190317
14,Business,Aluminum Makers Ditch Can Business,"Used cans are piling up at scrapyards because U.S. aluminum companies are turning fewer of them into new metal, another indication of the economic challenges facing recycling.",20190317
15,Health,New Guidelines Advise Against Aspirin to Prevent Heart Disease,"Most healthy people shouldn’t take aspirin to prevent a first heart attack or cardiovascular disease, major heart-health organizations now recommend, saying the risk of serious bleeding outweighs the benefits.",20190317
16,Slideshow,Portraits in Depth,slide show,20190317
17,World,New Zealand Mosque Massacre Brings Gun Debate to the Fore,"The terrorist attack on two mosques in Christchurch, which left 50 people dead, has prompted New Zealand Prime Minister Jacinda Ardern to press for changes to gun laws.",20190317
18,U.S.,"Methamphetamine Is Flooding Into U.S., Drug Officials Say","Officials are citing a worrisome increase in methamphetamine trafficking and related deaths around the U.S., tempering otherwise hopeful signs that overall drug-overdose fatalities are leveling off.",20190317
19,Economy Week Ahead,"Economy Week Ahead: Housing Data, the Federal Budget and More","In the week ahead, the U.S. will see fresh data on the housing market and Brazil’s central bank will release a key policy decision.",20190317
20,Inside View,Warren’s Populist Puritanism,Don’t bust successful businesses for their size. Focus on real anticompetitive issues.,20190317
