,section,headline,summary,date
0,None,Corrections & Amplifications,Corrections & Amplifications,20120108
1,Graphics,NFL Playoff 2012 Dossiers,"Who stands out in a wide-open NFL playoff field? See scouting reports, statistical performances and read how to beat the teams still standing.",20120108
2,Asia Business,South Korea Producer Price Inflation Eases,South Korea's producer price inflation eased in December to the lowest level since September 2010 amid falling commodity prices as the global economy slows.,20120108
3,IPOs,New Stocks Need Opportunities,"Wall Street bankers may be divided over their expectations for the U.S. IPO market this year, but they appear unified in their belief that the flow of deals will come in fits and starts.",20120108
4,Open House,Morristown: Revolving Around the Green,Morristown's more recent history has included a downtown revitalization that has drawn young residents for its easy access to Manhattan and a lively restaurant scene.,20120108
5,Business,Regulators Hold Firm to Basel Liquidity Rules,International regulators announced that banks will have to comply with new liquidity rules starting in 2015 as scheduled and the requirements would remain largely unchanged.,20120108
6,Latin America,Ahmadinejad Visits Latin America,"Iran's Mahmoud Ahmadinejad began a four-day tour of Latin America Sunday, hoping that meetings with anti-American leaders can provide moral support at a time when Iran faces growing isolation over its nuclear program.",20120108
7,Autos,Chrysler to Return to Small Car Market With Dodge Dart,The name may be old but the Dodge Dart—more than any other vehicle—represents the future ambitions of Chrysler Group and Fiat.,20120108
8,Autos,"Volt Output to Match Demand, GM CEO Says","GM CEO Dan Akerson said Sunday night that output of its Volt gas-electric car would match consumer demand, declining to say if the company would meet initial sales projections this year.",20120108
9,Asia,Commander Tries Out New Toys,"North Korea's new leader, Kim Jong-Eun, clambers from an armored vehicle during a military inspection at an unknown location that was filmed by state-run television station KRT.",20120108
10,Europe,Hungary Defends Central Bank Law,"Any objections to Hungary's revised central bank law are political rather than professional, Prime Minister Viktor Orban said.",20120108
11,Opinion,Notable & Quotable,Irving Kristol on why income inequality doesn't matter.,20120108
12,Politics,Campaign Watch,Rick Santorum likes to talk—a lot. Nancy Pelosi fires back at Newt Gingrich  over their climate-change ad. And presidential also-ran Buddy Roemer says he is an also-ran because of lobbyists.,20120108
