,section,headline,summary,date
0,Business,Woodside Outlook Falls Short of Expectations,Woodside Petroleum disappointed investors with a production forecast that fell below expectations and an update on its giant Pluto liquefied natural gas project that failed to inspire the market.,20111124
1,Asia Business,SABMiller's Foster's Bid Approved,SABMiller expects to close its US$9.6 billion takeover of Australian brewer Foster's by the end of the year after Australia's government approved the deal.,20111124
2,Photos,Four Decades of Martial Arts Movies,"Once upon a time, it was Hong Kong that cranked out most of the world's kung fu and swordplay movies, writes Don Steinberg. That is no longer the case.",20111124
3,Photos,Asia in Pictures,"A woman's head is covered with icicles in north China, Indian schoolgirls at a religious procession, a Chinese woman covered with icicles, and more.",20111124
4,Middle East,Arab League Closer to Syria Sanctions,"The Arab League threatened economic penalties against Syria and called on the government to engage the opposition in planning a transition period, a move seen as a warning to President Bashar al-Assad.",20111124
5,Business,M&S Moves Back Into France,"British retailer Marks & Spencer opened a new store on Paris' Champs-Elysées, the cornerstone of a strategy to capture a new generation of customers after a decade-long absence from France.",20111124
6,Europe,France Proposes Coeuré for ECB,"France proposed Benoît Coeuré, the deputy director general of the French Treasury and the finance ministry's chief economist, to succeed Italian Lorenzo Bini Smaghi on the ECB's executive board.",20111124
7,Heard on the Street,Finmeccanica's Scandal Is Test For Monti,Mario Monti has an opportunity at next week's board meeting to show he is serious about changing Italy.,20111124
8,Foreign Exchange,Euro Slips Toward $1.33,The euro softened as German Chancellor Angela Merkel said she sees no reason for euro bonds.,20111124
9,Media & Marketing,SocGen Sues Associated Newspapers Over Article,"Société Générale said it is suing Associated Newspapers over an article published in the U.K.'s Mail on Sunday last summer that claimed the bank was on the ""brink of disaster.""",20111124
10,Business,Intesa Sanpaolo Names Cucchiani CEO,"Italian lender Intesa Sanpaolo named Enrico Tomaso Cucchiani as chief executive after Corrado Passera agreed to become Italy's minister for industry, infrastructure and transportation last week.",20111124
11,Commodities,Oil Prices to Remain Choppy,"The sharp price swings seen in the oil market this year are likely here to stay, as the market remains torn between a weakening global economy and heightening risks to an already tight oil supply.",20111124
12,Markets,Yen May Still Be Too Strong for BOJ,"After spending an estimated $100 billion trying to lift the dollar against the yen, the Bank of Japan's work may still not be done.",20111124
13,Photos,Thanksgiving Day Parade,The annual Macy's Thanksgiving Day Parade made its way through the crowded streets of Manhattan beneath brilliant sunshine.,20111124
14,Technology,Jobs's Disney Shares in Trust,Apple co-founder Steve Jobs's 7.7% stake in Walt Disney has been transferred to a trust run by his widow.,20111124
15,Europe,"Portugal Hit by Downgrade, Strike",Portugal suffered a double blow after Fitch downgraded its debt to junk and a nationwide strike shut public services amid discontent over austerity measures.,20111124
16,Asia,Malaysia Bill on Demonstrations Draws Protests,"Malaysian Prime Minister Najib Razak's vaunted political overhaul is disappointing opposition and legal activists, who argue that new laws drafted to protect political protests might actually limit dissent.",20111124
17,Markets,"U.K., German Bond Yields Converge",The yield on the benchmark 10-year U.K. government bond came close to falling below that of its German counterpart for the first time since 2009.,20111124
18,Europe Markets,European Stocks Drop,"The losing streaks for the U.S. and German indexes hit nine, as euro-zone leaders again failed to signal they are nearing a solution to the long-running debt crisis.",20111124
19,Business,Regulator Says U.K. Banks Planning for Euro-Zone Split,FSA official says banks can't ignore possibility of disorderly departure of countries from currency bloc.,20111124
20,Europe,Germany Drops Probe of zu Guttenberg,"Prosecutors in Germany dropped a criminal probe into plagiarism allegations against the country's ex-defense minister Karl-Theodor zu Guttenberg, removing a key hurdle to a possible comeback attempt for the fallen German political star.",20111124
21,Business,Lufthansa Halts Investment,"German air carrier Deutsche Lufthansa AG said it is taking the drastic step of halting investment in its business for six months to counter rising financing costs, the latest sign of how economic uncertainty is hurting the airline industry.",20111124
22,Deals & Deal Makers,KPMG: 30 Bidders for MF Asia Units,"Auditing firm KPMG, liquidators of most of MF Global Holdings' Asia operations, said that as many as 30 bidders were in the race for the India, Japan, and Singapore operations of the collapsed brokerage.",20111124
23,Asia Business,Japan Maintains View of Economic Recovery,"Japan's government held on to its view that the nation's economy ""is expected to continue to pick up"" in its report for November, despite signs of sputtering growth due to the European sovereign debt crisis.",20111124
24,News,U.K. Economy Posts Growth,"Stock building and government spending boosted U.K. economic growth in the third quarter, but official data released failed to ease concerns of a looming recession.",20111124
25,Markets,Japanese Insurers Cut Europe Bond Holdings,"Six major life insurers cut their holdings of debt issued by Portugal, Italy, Ireland, Greece and Spain by nearly a third in recent months.",20111124
26,Photos,FDI in Indian Retail,Foreign Direct Investment in multi-brand retail was set to be discussed by the Indian cabinet Thursday evening. In pictures.,20111124
27,Deals & Deal Makers,BATS Clear to Buy Chi-X Europe,"BATS Global Markets said it won formal approval from U.K. regulators to acquire Chi-X Europe, clearing the way for the U.S. group to control the largest pan-European platform for share trading.",20111124
28,Asia Business,Indian Rupee Gains Ground,"The Indian rupee broke an eight-session losing run against the U.S. dollar, supported by positive local stocks and after the central bank Wednesday announced a string of measures to boost liquidity in the greenback.",20111124
29,Asia Business,India Tightens Rules for Warrants,India's capital markets regulator tightened rules governing the issuance of warrants allotted along with public and rights offerings in a bid to prevent their misuse.,20111124
30,Photos,Strike Halts Travel in Portugal,"Portugal suffered a double blow Thursday after Fitch Ratings downgraded its debt to junk, just as a nationwide strike shut public services amid growing discontent over austerity measures that are pushing the country into a deep recession.",20111124
31,Autos,EU to Sue Germany Over 'Volkswagen Law',"The European Commission said it will sue Germany over the country's so-called Volkswagen Law, which effectively shields the company from a hostile takeover.",20111124
32,Business,Westpac in Big Management Overhaul,"Westpac named Brian Hartzer, a former senior ANZ executive, to a powerful new position, as part of a restructuring that splits Australia's second-biggest lender into two divisions.",20111124
33,Earnings,Arcadia to Close Over 200 Stores,"U.K. retail company Arcadia Group said that it will close 250 to 260 stores over the next few years, as the company swung to a full-year net loss amid the gloomy consumer environment.",20111124
34,Heard on the Street,French Connection Hurts Corporate Bonds,"First French sovereign bonds, now French corporate bonds. Contagion is now spreading to a key source of funding for French companies. Although absolute borrowing costs remain low, the longer the sovereign-debt crisis continues, the greater the risk of a new credit crunch.",20111124
35,Markets,Asia Markets Mixed in Muted Moves,"Asian markets ended mixed, after swinging between small gains and losses, although Japanese shares took a sizeable drop as investors returning from a holiday caught up. Tokyo's Nikkei fell 1.8% to a 32-month low.",20111124
36,Business,German Banks Seek Delay,"Germany's banks are asking the European Banking Authority to postpone the deadline for submitting recapitalization plans, in an effort to buy more time to cope with tougher capital requirements.",20111124
37,Europe Business,German Business More Confident,"German business confidence jumped unexpectedly in November, reversing a four-month decline, data from Germany's Ifo research institute showed.",20111124
38,Europe,France Calls for S&P Sanctions,French Finance Minister François Baroin said a probe into an erroneous message sent by Standard & Poor's on France's sovereign rating is legitimate and any sanctions should be adapted to the significance of the error.,20111124
39,Business,NLRB Seeks Release of Boeing Documents,The National Labor Relations Board asked a federal district court to require Boeing to release certain company documents in the federal agency's high-profile case accusing the jet maker of illegally shifting union work in Washington state to a nonunion facility in South Carolina.,20111124
40,Middle East,S&P Cuts Egypt's Rating,"Ratings firm Standard & Poor's downgraded Egypt's sovereign credit rating by one notch to B plus due to a deterioration in its political and economic profile, and said it expects further pressure on its dwindling foreign reserves.",20111124
41,Business,Pipeline Opening Highlights Russian Energy Role,Unveiling of Nord Stream shows increasing importance of Russia to European energy needs.,20111124
42,Markets,Fitch Downgrades Portugal to Junk Status,"Fitch Ratings dropped its credit rating on Portugal into junk territory, saying that an expected recession will challenge the government's ability to carry out its austerity plans.",20111124
43,Business,Indian Shares End Up,"Indian shares ended on a strong note Thursday amid choppy trading as investors rolled over short positions in November derivatives contracts that expired today, with advances in European indexes lending support.",20111124
