,section,headline,summary,date
0,Opinion,Pepper...and Salt,Pepper...and Salt,20130211
1,Credit Markets,Treasury Auctions,The Treasury will auction $85 billion in debt Tuesday.,20130211
2,Page One,What's News: World-Wide,What's News: World-Wide,20130211
3,Page One,What's News: Business & Finance,"What's News: Business & Finance Top Stories for Feb. 11, 2013",20130211
4,Music,Making Music Against the Odds,"A new facet of Afghanistan's sorrowful history. A hopeful one, however tenuous.",20130211
5,World News,"When Last Pope Retired, Church Was in Turmoil","Whatever challenges the Roman Catholic Church faces in 2013, they pale compare to those that prompted the resignation 598 years ago of Pope Gregory XII.",20130211
6,New York Sports,Warning: Don't Pick the Wrong Dog,It is the ultimate honor for a show judge to name the Best in Show winner at Westminster. But it also can bring out the worst in people.,20130211
7,New York Culture,New Model Nets Met Grammy,The Metropolitan Opera's Grammy win for Best Opera Recording on Sunday night was a pretty sure bet given the monumental nature of the project and the quality of the production. But it was also unusual in two ways.,20130211
8,Curtain Raisers,It's the End of the World as She Knows It,"Big Dance Theater co-director Annie-B Parson goes to see the one-woman show ""This Clement World"" by Cynthia Hopkins, who was inspired by a 2010 voyage in the Arctic Ocean.",20130211
9,Business,Shell's Plan for Arctic Drilling in Doubt,Shell's plans for a second summer of drilling in the Arctic Ocean are in doubt as the company says it must tow its two Arctic drilling rigs to Asian ports for repairs.,20130211
10,New York Culture,Canine Couture at Pooch Pageant,"The first Doggies and Tiaras pageant was held Saturday night at the New Yorker Hotel, featuring 30 dogs competing in active-wear, talent and glamour categories.",20130211
11,New York Culture,Designer Vaults Into Fall 2013,"Designer Elie Tahari has decided to show his Fall 2013 collection during Fashion Week at an iconic building, 510 Fifth Ave., in the vault that was once occupied by Chase Bank.",20130211
12,Heard & Scene,Singing for Their Suppers Post-Grammys,One of the major plusses about Grammy parties is that they involve performances. Folks have to sing for their suppers; they can't just drink the night away and gorge themselves on mini quiches.,20130211
13,Property,Bronx Apartment Building Gets New Energy,"Building administrators hope the $1.5 million energy overhaul of the Urban Horizons building on East 168th Street can be a model for other large, low-income or rent-controlled complexes.",20130211
14,New York Politics,Cuomo Adds Casino Options,"New York Gov. Andrew Cuomo said he will consider building a casino downstate, months after proposing a plan to build three casinos in upstate New York.",20130211
15,Decos and Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Feb.12, 2013",20130211
16,Lunchbox,"Surf, Turf and Salads",Seafood is certainly the top seller at Sea Fire Grill—more than half of the menu derives from the ocean.,20130211
17,New York Crime,Rivera Wins Court Seat,"After a week of contentious debate, New York lawmakers confirmed 52-year-old law professor Jenny Rivera to the New York state Court of Appeals on Monday.",20130211
18,Business,No Resolution Reached in Agrium-Jana Proxy Battle,"Fertilizer maker Agrium named two new directors and said it held talks with hedge fund Jana Partners to resolve a proxy battle, but those talks ended after Jana rejected a proposed settlement.",20130211
19,New York,"Ivy Buried by Blizzard, Yale Cancels Class for Two Days","Yale University had a snow day Monday, the first for students and faculty in 35 years.",20130211
