,section,headline,summary,date
0,Whats Hot and Not,What's Hot…and Not,"A graphical look at how different investments, from REIT shares to crude oil, fared last week.",20100813
1,Opinion,Pepper...and Salt,Pepper...and Salt,20100813
2,Markets,"Delhaize Group, Telestone Technologies: Biggest Price Decliners (DEG, TSTC)",Markets Data Center: Biggest Price Decliners.,20100813
3,Markets,"Dynegy, Unica Corporation: Biggest Price Gainers (DNY, UNCA)",Markets Data Center: Biggest Price Gainers.,20100813
4,U.S.,Inside,For Aug. 14,20100813
5,Markets,"Delhaize Group, Telestone Technologies: Biggest Price Decliners (DEG, TSTC)",Markets Data Center: Biggest Price Decliners.,20100813
6,Markets,"Dynegy, Unica Corporation: Biggest Price Gainers (DNY, UNCA)",Markets Data Center: Biggest Price Gainers.,20100813
7,Markets,"SPDR S&P 500, iShares Barclays TIPS Bonds: Money Flow Leaders (SPY, TIP)",Markets Data Center: Money Flow Leaders.,20100813
8,Photos,The Holy Month of Ramzan,"Ramzan, or Ramadan, the holy month of fasting for Muslims began on Thursday. Some snapshots.",20100813
9,Markets,Treasury to Sell $60 Billion in Securities,The Treasury plans to sell $60 billion on Monday in short-term bills.,20100813
10,None,Pepper...and Salt,Pepper...and Salt,20100813
11,US Page One,What's News: Business & Finance,"What's News: Business & Finance Top Stories for Aug. 13, 2010",20100813
12,Sports,2,None,20100813
13,Photos,PGA Championship: Day 2,"Players were forced to wait for dense fog to lift for a second straight day Friday during round two of the PGA Championship at Whistling Straits in Haven, Wis.",20100813
14,Technology,Oracle Sues Google Over Android,"Oracle said it is suing Google, arguing that the Internet-search giant's Android operating system for smartphones infringes its Java technology patents and copyrights.",20100813
15,Today's Markets,Dow Sinks 3.3% on Week,"The Dow limped to a small loss, capping a rough week that has seen the major indexes back into the red for the year on renewed signs of slowing economic growth.",20100813
16,Americas,Ex-General Ordered to Stay in Venezuela,"A former Venezuelan army general accused of revealing military secrets after he criticized the ""Cubanization"" of Venezuela's armed forces was told by a judge Friday not to leave the country while the case is being investigated.",20100813
17,Photos,Family Heirlooms,"The McEnroe Farm in Millerton, N.Y., is growing rare heirloom vegetables that Sotheby's will auction to raise money for charity.",20100813
18,Law,Transocean Dividend Payout Blocked,Oil services company Transocean said a Swiss commercial-registry office blocked its first payment on a planned $1 billion dividend citing lawsuits surrounding its role in the Gulf of Mexico oil-well disaster.,20100813
19,New York Region,A Future in Fudge,"Before starting her line of fudge, Donna McCue worked as a comedian, an entertainer and an intuitive. So she must have had a sense the company, which also makes brownies, truffles and cookies, would be a success.",20100813
20,World Stock Markets,Tokyo Snaps Losing Streak; Europe Inches Up,"Japanese stocks snapped a five-day losing streak on dip-buying in select blue-chips, while European shares got an early boost from strong economic data.",20100813
21,U.S.,Costs Swell for Some Solar Projects,"California has succeeded in encouraging solar-power development through a rebate program, but program data show the state is paying for some systems to be installed at costs far above prevailing rates.",20100813
22,Small Stock Focus,Unica Surges; Red Robin Shot Down,"Small-capitalization stocks fell for a fourth-straight session on Friday, ending a painful week on a sour note, as investors continued shying away from risky assets.",20100813
23,Photos of the Day,Photos of the Day: Aug. 13,"In today's pictures, big balloons fly in England, hippopotamuses play in Germany, a same-sex couple gets ready to wed and more.",20100813
24,Europe,Suspect in Hamas Killing Freed,A German court released an alleged Israeli spy whom Dubai prosecutors have sought in connection with the murder of a Hamas leader earlier this year.,20100813
25,Photos,Meteors in the Night Sky,Clear skies around the world gave way to spectacular views of the Perseid meteor shower. The shower peaked Thursday night and early Friday morning.,20100813
26,Book Excerpt,'The Black Nile',"Read an excerpt from ""The Black Nile: One Man's Amazing Journey Through Peace and War on the World's Longest River"" by Dan Morrison.",20100813
27,Large Stock Focus,"Intel, DuPont, Home Depot Weigh Down Dow","Stocks fell slightly, with Intel, DuPont and Home Depot among the decliners in the final session of the market's worst week since early July.",20100813
28,U.S.,Appeals Court Deals Acorn a Setback,"Congress acted within its authority when it blocked federal funding last year for community activist group Acorn, a federal appeals court ruled.",20100813
29,Options,Traders See Dynegy Bid War—or Not,"For some options traders, a bidding war for Dynegy looks entirely plausible and they took up positions to reflect that view. Others took the other side of the bet.",20100813
30,Markets,Oil Prices Fall for 4th Day,"Crude futures settled slightly lower, down for the fourth straight session, as a stronger dollar and economic concerns weighed on prices.",20100813
31,Technology,Comverse Warns of Dwindling Cash,Comverse Technology warned of dwindling cash reserves and said it was cutting an unspecified number of jobs and hiring Goldman Sachs to explore strategic options and ways to raise capital.,20100813
32,Europe,Russian Fires Shrink,"Russia's forest fires continued to dwindle Friday, but economic fallout from the country's worst drought in decades mounted, as food prices continued to climb despite a looming grain export ban.",20100813
33,Markets,"Occidental Petroleum, Fidelity National Information Services: Money Flow Leaders (OXY, FIS)",Markets Data Center: Money Flow Leaders.,20100813
34,Photos,Diego Rivera's 'Detroit Industry' Murals,"The Detroit Institute of Arts houses the ""Detroit Industry"" murals of 1932-33—a spectacular series of paintings by Diego Rivera that present a forceful array of images, including industrial settings with huge machines and smaller vignettes that unite to create an elaborate, iconographically layered environment.",20100813
35,Photos,Inside the Soho House Berlin,"The city suffers an identity crisis as it balances its grit against the exclusive club's upscale scene, complete with chandeliers, velvet sofas and a rooftop bar.",20100813
36,Health,Patent Loss Puts Pressure on Lilly,Eli Lilly said it will hold to its strategy despite a judge's invalidation of the U.S. patent for the drug Strattera.,20100813
37,Markets,Gold Settles Near Flatline,"Gold futures finished near steady, stalling after a safe-haven rally the previous session.",20100813
38,U.S.,Crash Survivor O'Keefe Improves,The former NASA administrator who was injured in the Monday plane crash that killed former Sen. Ted Stevens has been upgraded to serious condition.,20100813
39,Career Strategies,New Website For Would-Be M.B.A.s,"John A. Byrne, a former BusinessWeek writer and editor who created modern M.B.A. rankings more than a decade ago, hopes to lure readers with his expertise on business schools. Can he succeed?",20100813
40,Brownstone Diary,The World's Most Expensive Dishwasher,The Brownstone Diarist pays a steep price for switching the plans for the kitchen in her Harlem renovation.,20100813
41,Photos,Firefighters Hurt in Detroit Arson,Officials say six firemen were injured when they returned to the scene of a fire that suspiciously rekindled more than two hours after they first extinguished the flames.,20100813
42,Photos,Former Sen. Stevens Killed in Plane Crash,"Former Sen. Ted Stevens served Alaskans for 41 years before an ethics conviction derailed his career. Monday, he was aboard a plane that crashed in Alaska, killing five passengers.",20100813
43,Health,Drug Industry Weighs Allegiance,The pharmaceutical industry helped Democrats pass the biggest health bill in a generation but is hedging its bets in the face of potential Republican gains.,20100813
44,Photos,Dishwasher Stalls Progress,Work is going slowly on the renovation because of our last-minute decision to add a second dishwasher. We could be anywhere from six weeks to three months away from the finish line.,20100813
45,Europe Markets,European Stocks Eke Out Gain,"European shares ended slightly higher, with an early boost from strong economic data tempered by ongoing worries about euro-zone sovereign debt.",20100813
