,section,headline,summary,date
0,Politics,Number of Family Separations at U.S. Border Higher Than Previously Known,"The American Civil Liberties Union said the Trump administration disclosed that more than an additional 1,500 children were separated from their families before the government’s “zero tolerance” policy was fully implemented.",20191024
1,Business,SoftBank-Backed Car Lessor to Cut 40% of Workforce,"Fair, the online car-leasing startup, is the latest company backed by SoftBank to announce sweeping layoffs.",20191024
2,Journal Reports: Technology,The FCC Chairman on Regulating the Big Tech Companies,Ajit Pai talks about consistent rules and the U.S.-China rivalry over 5G.,20191024
3,Election 2020,"In a Reversal, Biden Opens Door to Super PAC","Joe Biden’s campaign cracked open the door to the possible formation of an independent fundraising group in support of his presidential bid, reversing its stance.",20191024
4,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Oct. 25, 2019",20191024
5,Pro Bankruptcy Beyond Bankruptcy,U.S. Gives Venezuela's Citgo Temporary Shield From Creditors,"The Trump administration extended a temporary shield over Venezuela’s Citgo Petroleum Corp. ahead of a looming debt payment, protecting the Houston-based crude refiner from potential seizure by creditors for three months.",20191024
6,Risk & Compliance Journal,New Report Evaluates Sanctions Programs in Sub-Saharan Africa,"Sanctions programs levied on some Sub-Saharan African countries could be made more effective by targeting specific networks rather than comprehensive sanctions against an entire country, a new report says.",20191024
7,CMO Today,How Bugs Sapped Twitter’s Ad Capabilities and Drove Prices Lower,Glitches in Twitter’s ad-targeting machinery shaved three or more percentage points off the social-media company’s sales growth last quarter by limiting the platform’s ability to precisely target users and weighing down ad prices as a result.,20191024
8,Review & Outlook,Bonfire of the Philanthropists,BlackRock’s liberal CEO faces political furies he hoped to keep at bay.,20191024
9,Review & Outlook,Mayor Pete’s Supreme Pivot,He speaks well of Justice Anthony Kennedy. Consternation ensues.,20191024
10,Review & Outlook,Trump’s Gift to California,The EPA liberates more water from smelt and salmon regulations.,20191024
11,Middle East,"Saudi-Backed Yemeni Government, Separatists Sign Power-Sharing Deal","The Saudi-backed Yemeni government has signed a power-sharing deal with a local group seeking a separate state in the south, an agreement designed to keep the country from fracturing and pave the way for broader talks to end its five-year-old war.",20191024
12,Transit,Port Authority Approves Billions for Airport Projects,The authority on Thursday advanced a series of long-awaited construction projects at the region’s three main airports.,20191024
13,Journal Reports: Technology,Amazon’s Defense of Private Brands,Jeff Wilke says the company doesn’t give its own brand an advantage in its search results.,20191024
14,Journal Reports: Technology,Reimagining the Car and Carbon Removal,"Two innovators, Aicha Evans and Anousheh Ansari, talk about their big ideas.",20191024
15,Markets,Citigroup Puts Jane Fraser in Line to Succeed Corbat as CEO,"Citigroup tapped its Latin America chief, Jane Fraser, to serve as the bank’s No. 2 executive, putting her atop the list to succeed Chief Executive Michael Corbat.",20191024
