,section,headline,summary,date
0,Agenda,"To Walk on World Stage, U.K. Needs Europe",The U.K. needs to deepen its engagement with the EU to project its diminished power in an increasingly multipolar world.,20130901
1,Latin America,Protesters Hit Mexico City Streets,Thousands of anti-government protesters fanned across the Mexican capital in a bid to halt proposed overhauls to the education system and the energy sector.,20130901
2,Japan News,New Radiation Hotspots Found at Fukushima,The operator of the troubled Fukushima Daiichi nuclear complex said over the weekend that its struggles to control highly radioactive water had suffered new setbacks.,20130901
3,Heard on the Pitch,Bale to Join Real Madrid in Likely Record Transfer,The biggest off-season move in an unprecedented summer of spending across European soccer was finally confirmed Sunday: Gareth Bale is bound for Real Madrid.,20130901
4,Business,Coca-Cola Femsa to Buy Brazilian Bottler,Mexican soft-drink bottler Coca-Cola Femsa agreed to buy the second-largest privately owned Coke bottler in Brazil for $1.86 billion in cash.,20130901
5,Review & Outlook,What Miranda Was Carrying,The British say the stolen files could put agents at risk.,20130901
6,Opinion,Breaking Up Badly in Pyongyang,Kim Jong Un sends his ex-girlfriend to a firing squad.,20130901
7,Politics,Syria Campaign to Define Kerry's Legacy,U.S. Secretary of State John Kerry has been on the international stage for nearly four decades. But his campaign against Assad likely will define his diplomatic legacy.,20130901
8,Middle East,Saudis Urge Action on Syria,Saudi Arabia struggled Sunday to assemble an Arab coalition that would give the U.S. and other Western countries vital political backing for airstrikes on the Syrian regime.,20130901
9,Middle East,Egypt Leans on Secularists,"Egypt's interim president announced a list of 50 mostly secular-leaning delegates who will draft the country's next constitution, another clear snub for the already isolated Islamist former rulers.",20130901
10,Down & Distance,Alabama-Texas A&M: The Only Story That Matters,"As college football began over the weekend, the behavior of Texas A&M quarterback Johnny Manziel and the play of Alabama—and their looming Sept. 14 showdown—continued to overshadow all else.",20130901
11,Middle East,Global Opponents of Syria Strike Gain Time,"President Barack Obama's decision to seek a congressional debate for any strikes on Syria has sparked fresh public scrutiny and diplomatic debate, giving some Washington allies more time to argue against military intervention.",20130901
12,Graphics,Record Soccer Transfers,Real Madrid have announced that they have agreed on a deal to acquire Gareth Bale from Tottenham Hotspur. Here are some other high-profile soccer transfers that both broke records and raised eyebrows.,20130901
13,Photos,Millionaire Bale for Real Madrid,"Real Madrid have announced that they have reached a deal to acquire Gareth Bale from his parent club, Tottenham Hotspur.",20130901
14,Soccer,Can Sturridge Replace Suarez?,"The young Liverpool striker has finally got into his groove, making the team's star player look like less of an asset.",20130901
15,Opinion,Douglas Murray: A Conflict Britain Should Avoid,This is the second U.K. government in a row to be eager to deploy British forces while irresponsibly slashing their funding.,20130901
16,Opinion,David Davis: Why I Voted Against Syria Intervention,While the Cameron government's motive was clear—to prevent the deaths of more innocent civilians—its strategy was not.,20130901
17,Soccer,Gareth Bale Bound for Real Madrid,The biggest off-season move in an unprecedented summer of spending across European soccer was finally confirmed Sunday: Gareth Bale is bound for Real Madrid.,20130901
18,Politics,Obama's Syria Plan Faces Skeptical Public,"In asking lawmakers to approve his plan for military action against Syria, President Obama will have to navigate a public mood of pessimism about the outcome of a U.S. strike and uncertainty that a military response is in the country's own interest.",20130901
19,Latin America,Bogotá Mostly Calm in Wake of Protests,Colombia's capital was mostly peaceful over the weekend after a large street rally Thursday spiraled into violence prompting President Santos to order military troop deployments in the city and the rest of the country.,20130901
20,India,Indian Rape Sentence Renews Calls for Tougher Laws,The three-year reformatory sentence handed down by a juvenile court in the case of a teenager involved in last year's rape of a 23-year-old student in Delhi angered women's rights activists and fueled calls for a revamp of the country's justice system.,20130901
