,section,headline,summary,date
0,Politics,Ex-Newark Mayoral Candidate Shavar Jeffries to Lead Education Group,"Shavar Jeffries, a civil rights attorney who ran for mayor of Newark last year, will lead Democrats for Education Reform, a national advocacy group that calls for school choice, closing failing schools and giving principals autonomy to hire staff.",20150902
1,Oil Markets,New Zealand Gearing Up to Offer Oil and Gas Blocks,"The government has kicked off a consultation process for proposed onshore and offshore exploration areas to be included in Block Offer 2016, Energy and Resources Minister Simon Bridges said.",20150902
2,Business,Costco Same-Store Sales Rose Significantly in Fiscal 2015,"Costco Wholesale said sales in stores open at least a year grew significantly during fiscal 2015, adding to a string of strong sales figures for the warehouse retailer.",20150902
3,WSJ Logistics Report,"Air Cargo Volumes Drop, as China’s Economy Stumbles","Airports in the U.S. and Europe are reporting declines in air freight after months of growth due to reduced exports from Asia, raising concerns about the health of global trade.",20150902
4,Slideshow,Photos of the Day: Sept. 2,"In photos chosen Wednesday by Wall Street Journal editors, Baltimore has another tense day as the Freddie Gray case proceeds, Europe struggles with the crush of migrants, and more.",20150902
5,Economy,Fed Beige Book: Economic Activity ‘Continued Expanding’,"A tightening labor market pushed up workers’ wages in pockets of the U.S. this summer, the Federal Reserve said Wednesday, but slowing growth in Asia threatened to hurt American factories.",20150902
6,Review & Outlook,Beijing’s Martial Display,China puts on a show of military power and nationalism.,20150902
7,Gas Markets,Australia Defers Decision on Shell’s Takeover of BG,Australia’s antitrust regulator has given itself more time to consider Royal Dutch Shell’s planned takeover of U.K.-based oil-and-gas firm BG Group.,20150902
8,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Sept. 3, 2015.",20150902
9,Markets,"Giant U.S. Pension Fund to Propose Shift Away From Stocks, Bonds","The California State Teachers’ Retirement System, the nation’s second-largest pension fund, is considering a significant shift away from some stocks and bonds amid turbulent markets world-wide.",20150902
10,U.S.,Illinois Democrats Fail to Override Veto,"Illinois Democrats fell short of enacting legislation to curb the power of Republican Gov. Bruce Rauner in labor negotiations, failing Wednesday to override his veto of the bill.",20150902
11,New York,Students Ditch Dorms as Parents Buy Co-Ops,"While some college students are decorating dorm rooms, others are moving into new apartments as part of a family investment strategy.",20150902
12,Crime,"New York City Summer Is Safest in Years, Records Show",Top officials in Mayor Bill de Blasio’s administration said Wednesday that this summer has been the safest in decades as they tried to stem worries that crime is rising and quality of life is falling in New York City.,20150902
13,Media & Marketing,Sony Pictures Settles Data Breach Lawsuit,"The lawsuit, filed by former Sony employees in federal court, accused the company of failing to protect their data, especially in light of previous breaches of Sony’s servers.",20150902
14,Tri-State Area,Greater New York Watch: News Digest,A roundup of news from around the tri-state region.,20150902
15,Business,Production Woes at Oil-Sands Giant Syncrude to Impact Full-Year Output,"Canadian Oil Sands, the largest owner of the giant Syncrude oil-sands project, said production of synthetic crude would be “minimal” for two weeks after a weekend fire at Syncrude’s main plant, and that the lost production would impact its annual output.",20150902
16,Urban Gardner,Hanging With Pro Players—of the Past,Ralph Gardner Jr. hits the players lounge at the U.S. Open and learns how the pro tennis scene has changed over the years.,20150902
17,Central Banks,Brazil Leaves Benchmark Interest Rate Unchanged,Brazil’s central bank left its benchmark interest rate unchanged on Wednesday at the highest level in nine years as the long battle with inflation continues with little relief in sight.,20150902
18,U.S.,Court Weighs Request to Immediately Stop Phone-Data Collection,An appeals court panel is considering whether to allow the government to continue the bulk collection of phone records during a six-month transition period until a new law kicks in prohibiting the controversial program.,20150902
19,Small Business,Small Firms Are Slow to Embrace Chip-Card System,Many small businesses aren’t racing to update their checkout systems ahead of an Oct. 1 shift that will put merchants on the hook for some fraudulent card charges.,20150902
20,World,"IMF Says China Slowdown, Other Risks Threaten Global Outlook","China’s slowdown and a host of other downside risks threaten to push the global economy into much deeper trouble without concerted action by the world’s largest economies, the International Monetary Fund warned.",20150902
21,Transit,Long Island Rail Road Expects Normal Service on Thursday,"The Long Island Rail Road expects to run normal train service into and out of New York Penn Station on Thursday, a day after disruptions that wreaked havoc for thousands of riders.",20150902
22,Middle East,Masked Gunmen Kidnap 18 Turkish Workers in Baghdad,"Identities of the gunmen in an early-morning raid on a sports stadium weren’t immediately known, as Turks in Iraq were seized for a second time in the past year.",20150902
23,Politics,"For Kasich, New Hampshire Presence Is Paying Off",The Ohio governor has spent more time in New Hampshire than perhaps anywhere but his home turf. It may be paying off as he has risen to second place among GOP presidential contenders in the state.,20150902
24,U.S.,Judge Denies Bid to Drop Freddie Gray Case in Baltimore,"A Baltimore judge denied a bid by six police officers charged in the death of Freddie Gray to have their case dismissed, rejecting allegations of misconduct against Baltimore’s top prosecutor.",20150902
25,U.S.,Lawsuits Seek Safer Nuclear Cleanup,"The Washington state attorney general and a citizens group both sued, alleging that workers’ health is being endangered by vapors escaping from underground waste tanks at the Energy Department’s giant Hanford nuclear-weapons cleanup project.",20150902
26,Review & Outlook,Hong Kong’s Disunited Front,Frustration simmers even among pro-Beijing loyalists.,20150902
27,U.S.,Court Strips Lesser Prairie Chicken of Federal Protection,The ruling is a victory for oil and gas companies that argued the listing would impede operations and conservation efforts are working.,20150902
28,Business,Nucor Board Authorizes Stock Buyback,Steel-products company Nucor Corp. announced a stock buyback and the addition of a new board member on Wednesday.,20150902
