,section,headline,summary,date
0,Corrections,Corrections & Amplifications,"Corrections & Amplifications for edition of Nov. 5-6, 2016.",20161104
1,U.S.,Mississippi Power Further Delays Kemper Plant; Cost Nears $7 Billion,"If the coal-fueled plant doesn’t start commercial operation by Dec. 31, Mississippi Power could have to repay $250 million of previously received tax benefits.",20161104
2,Election 2016,Federal Courts Issue Voting Rulings Favoring Democrats in 3 States,"Federal courts issued several rulings Friday on voter harassment and election mechanics that favored Democrats, as judges continued to grapple with legal challenges on voting ahead of Election Day.",20161104
3,Heard & Scene,"Self-Loathing, ‘Doomocracy,’ an Off-Road Rally and ‘Fendirumi’",Rachel Bloom sings songs from ‘Crazy Ex-Girlfriend’; Christina Lagarde promotes the Rallye Aïcha Des Gazelles Du Maroc; and more in Heard & Scene.,20161104
4,U.S. News Briefs,Campaign Wire,A roundup of campaign news.,20161104
5,U.S. News Briefs,U.S. Watch,A roundup of U.S. news.,20161104
6,Tri-State Area,Paris-Based Chef Returns to the City With Two Restaurants,"Four years after his last New York City restaurant closed, Joël Robuchon is planning a two-part comeback, with spots in the Meatpacking District and one in Midtown.",20161104
7,Real Estate,The Enforcement of Airbnb Law Postponed Again,Enforcement of a new state law designed to curtail many short-term rentals in New York City has been postponed for at least three weeks.,20161104
8,Slideshow,Working High in the Sky,Fancy having an office in a New York City icon? Rent for office space in the Empire State Building and One World Trade Center is surprisingly reasonable for Manhattan.,20161104
9,Sports,California Chrome Looks Primed for a Classic Run,"There are no sure things in racing, but California Chrome looks pretty close as the leader of the field in Saturday’s $6 million Breeders’ Cup Classic.",20161104
10,Election 2016,Candidates Trade Body Blows as Race Winds Down,"Donald Trump and Hillary Clinton, capping a brutally negative campaign, Friday deployed fear as a political weapon by offering hair-raising reasons to view their rivals as unfit to be commander in chief.",20161104
11,World News Briefs,World Watch: News Digest,A daily roundup of news from around the world.,20161104
12,U.S.,Rolling Stone Found Liable for Defamation in Retracted Rape Story,A federal jury on Friday ruled against Rolling Stone and a reporter in a defamation trial over the magazine’s discredited 2014 story about an alleged fraternity party gang rape at the University of Virginia.,20161104
13,Business,Hostess Returns to Wall Street,"Hostess Brands is expected to start trading as a public company on Monday, serving as the first widespread test of investor appetite for the snack brands since they were bought out of liquidation almost four years ago.",20161104
14,Review & Outlook,The Clinton Business Model: State Version,"In Pennsylvania, Katie McGinty shows money and power are fungible.",20161104
15,Latin America,Rio’s Party Ends With Austerity Hangover,"After four years of megaevents culminating in the 2016 Olympics, the party ended for Rio de Janeiro on Friday, when the state government unveiled a draconian austerity package aimed at unwinding years of fiscal profligacy.",20161104
16,NFL,NFL Week 9 Predictions: The Niners Will Keep New Orleans Close,"Here are the best bets for this week’s NFL games, based on a mathematical model",20161104
17,Opinion,The Definitive Texas Singer-Songwriter,A biography by Guy Clark’s longtime publicist captures the life and music of the great musician.,20161104
18,Opinion,A Capitol Hill Mystery,“The People’s House” emerges as a sleeper candidate for political thriller of the year.,20161104
19,Markets,Andrew Caspersen Sentenced to Four Years for Bilking Investors,"A federal judge sentenced Andrew Caspersen to four years in prison Friday, sparing the former Wall Street executive the stringent sentence prosecutors had recommended for bilking his friends and family out of millions.",20161104
20,Cross Country,Teachers Unions Fight to Save Georgia’s ‘Dropout Factories’,"Nearly 68,000 students are in failing schools. Voters may approve a plan based on Louisiana’s success.",20161104
21,Commodities,Copper Rally Points to Stronger Global Economy,"Copper prices rallied for the 10th consecutive day, their longest winning streak in at least 28 years, as traders bet that the global economy may be picking up after a long period of sluggish growth.",20161104
22,Election 2016,U.S. Officials Probing Pre-Election Terror Threat,"A range of U.S. officials from law enforcement, national security and intelligence agencies are watching for potential threats timed around Tuesday’s election, chasing a tip about a possible terror plot and trying to guard against cyberattacks that could sow confusion or doubt about the results.",20161104
23,CMO,Nielsen and ESPN Feud Over Cord-Cutting Estimate,"Ratings specialist Nielsen is standing by its eye-popping estimate of ESPN’s subscriber losses due to cord-cutting, despite fierce pushback from the sports network.",20161104
24,Earnings,Liberty Global Swings to a Loss,Telecommunications company Liberty Global PLC swung into the red during the third-quarter on trading losses.,20161104
25,U.S.,Man Who Recorded Walter Scott’s Death Testifies,"The bystander who recorded video last year of a black man being shot in the back by a white North Charleston, S.C., police officer told jurors in the officer’s murder trial that he came forward because he wanted to help, not because he disliked police.",20161104
26,Earnings,Berkshire Hathaway Reports Higher Revenue,"Berkshire Hathaway Inc.’s third-quarter operating profit and revenue rose, driven by its businesses in manufacturing, utilities and energy.",20161104
27,Slideshow,Photos of the Day: Nov. 4,"In photos selected by Wall Street Journal editors on Friday, South Korean lawmakers bow in a show of apology, a former aide to New Jersey’s governor is found guilty in the “Bridgegate” scandal, Chicago police investigate a homicide scene, and more.",20161104
28,Tri-State Area,‘Bridgegate’ Trial Verdicts Cap Rugged Few Years for N.J. Gov. Chris Christie,"Even as he brushed aside questions over lane closures on the George Washington Bridge, New Jersey Gov. Chris Christie ended his first term having won ground-breaking changes to public-employee pensions, accolades for his superstorm Sandy response and a wide re-election margin.",20161104
29,Markets,OPEC Chief Outlines Progress Toward Oil-Output-Cut Deal,"Members of the Organization of the Petroleum Exporting Countries have agreed to use a unified set of independent production data for output cuts, the group’s chief said in an interview with The Wall Street Journal.",20161104
30,Middle East,Iraqi Forces Seize Neighborhoods on Mosul’s Eastern Outskirts,"Iraqi special forces pushed into densely populated outer neighborhoods of Mosul, pressing forward their plan to retake the eastern half of the city from Islamic State as quickly as possible.",20161104
31,Pro VC MA IPOs,Wireless Backhaul Company BLiNQ Networks Acquired,"Wireless technology developer BLiNQ Networks Inc. has been acquired by Communication Components Inc., a provider of antenna systems and radio-frequency technology.",20161104
32,Style & Fashion,Destination Menswear Stores That (Almost) Justify a Plane Trip,"Travelers often squeeze in a little shopping, but these six retail destinations in Paris, Miami, Sydney and more may inspire you to book a flight",20161104
